,person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file
592,25.0,male,Associate,51210.0,4,RENT,20000.0,EDUCATION,13.47,0.39,4.0,645,No
44152,25.0,female,High School,32351.0,0,RENT,4196.0,DEBTCONSOLIDATION,15.87,0.13,3.0,543,No
4930,23.0,male,High School,49237.0,5,RENT,5000.0,MEDICAL,11.01,0.1,3.0,690,Yes
26416,32.0,female,Associate,122218.0,4,MORTGAGE,8000.0,DEBTCONSOLIDATION,11.49,0.07,5.0,590,No
7756,24.0,female,Master,43339.0,0,RENT,7000.0,PERSONAL,5.99,0.16,2.0,624,Yes
22839,27.0,female,Master,45610.0,3,RENT,7900.0,EDUCATION,11.11,0.17,7.0,550,Yes
23188,28.0,female,High School,73038.0,9,MORTGAGE,15000.0,MEDICAL,8.94,0.21,9.0,608,Yes
30586,40.0,male,Bachelor,72968.0,20,MORTGAGE,14400.0,HOMEIMPROVEMENT,5.42,0.2,12.0,731,No
18002,31.0,male,Associate,241145.0,8,MORTGAGE,24000.0,DEBTCONSOLIDATION,8.9,0.1,9.0,658,Yes
24269,34.0,male,Master,85755.0,11,MORTGAGE,10000.0,DEBTCONSOLIDATION,11.26,0.12,9.0,624,Yes
2347,22.0,female,High School,37236.0,0,RENT,2500.0,EDUCATION,13.16,0.07,4.0,644,No
39831,31.0,male,High School,193091.0,8,MORTGAGE,7105.0,DEBTCONSOLIDATION,13.36,0.04,7.0,648,Yes
40511,38.0,male,Bachelor,103058.0,12,RENT,17073.0,HOMEIMPROVEMENT,8.7,0.17,8.0,576,Yes
26716,33.0,female,Bachelor,133147.0,13,MORTGAGE,23800.0,MEDICAL,10.25,0.18,5.0,650,No
13656,23.0,female,Bachelor,114931.0,0,MORTGAGE,20000.0,EDUCATION,14.17,0.17,4.0,592,Yes
39138,27.0,female,Associate,113110.0,3,MORTGAGE,12000.0,VENTURE,8.29,0.11,7.0,555,Yes
20961,29.0,male,Associate,80191.0,11,RENT,8800.0,DEBTCONSOLIDATION,10.71,0.11,10.0,655,No
23828,33.0,female,Bachelor,80404.0,11,OWN,3500.0,MEDICAL,11.01,0.04,9.0,698,Yes
6943,23.0,male,High School,62000.0,5,MORTGAGE,2500.0,EDUCATION,10.99,0.04,4.0,616,Yes
13500,23.0,male,Bachelor,112154.0,1,MORTGAGE,2500.0,EDUCATION,11.01,0.02,2.0,668,Yes
15339,23.0,male,Bachelor,157363.0,3,MORTGAGE,10000.0,PERSONAL,11.36,0.06,3.0,638,Yes
34089,30.0,female,Bachelor,95991.0,6,MORTGAGE,4899.0,MEDICAL,8.13,0.05,8.0,670,No
22359,28.0,male,Bachelor,66851.0,6,MORTGAGE,6400.0,PERSONAL,11.01,0.1,5.0,595,Yes
30100,37.0,female,Associate,56071.0,12,MORTGAGE,6000.0,VENTURE,9.25,0.11,16.0,592,Yes
31891,40.0,female,High School,301183.0,18,MORTGAGE,28000.0,EDUCATION,7.9,0.09,13.0,714,No
34640,24.0,male,Bachelor,193091.0,0,MORTGAGE,12000.0,DEBTCONSOLIDATION,5.65,0.06,5.0,617,Yes
21139,28.0,male,High School,81252.0,5,RENT,5000.0,EDUCATION,11.86,0.06,10.0,542,Yes
35699,23.0,male,Associate,54964.0,0,RENT,4800.0,PERSONAL,13.34,0.09,4.0,529,No
43033,27.0,female,Bachelor,38459.0,4,RENT,10470.0,MEDICAL,11.5,0.27,6.0,577,No
8583,23.0,male,High School,71662.0,0,MORTGAGE,9000.0,EDUCATION,8.49,0.13,3.0,579,Yes
38048,33.0,female,Bachelor,44391.0,9,RENT,8400.0,EDUCATION,10.32,0.19,11.0,645,Yes
10331,23.0,female,Bachelor,81538.0,0,MORTGAGE,10000.0,MEDICAL,9.32,0.12,3.0,665,Yes
33602,22.0,female,Bachelor,96934.0,0,MORTGAGE,5000.0,VENTURE,12.37,0.05,3.0,578,Yes
25561,32.0,female,Bachelor,104200.0,10,MORTGAGE,8000.0,DEBTCONSOLIDATION,5.79,0.08,5.0,576,Yes
2332,26.0,female,Bachelor,38374.0,7,RENT,2500.0,VENTURE,10.37,0.07,3.0,634,Yes
14675,21.0,male,Associate,34862.0,0,OWN,4000.0,VENTURE,7.88,0.11,3.0,620,Yes
14570,24.0,female,High School,132898.0,1,MORTGAGE,10000.0,PERSONAL,15.62,0.08,4.0,675,No
44012,25.0,female,Master,43478.0,3,RENT,16000.0,EDUCATION,9.22,0.37,4.0,698,No
8831,25.0,female,High School,73385.0,4,MORTGAGE,4000.0,EDUCATION,11.01,0.05,4.0,625,Yes
30818,37.0,female,Associate,78811.0,14,MORTGAGE,17000.0,MEDICAL,11.26,0.22,13.0,518,Yes
1197,22.0,male,Associate,58425.0,2,RENT,16500.0,MEDICAL,8.9,0.28,4.0,607,No
43769,30.0,female,Bachelor,121611.0,6,RENT,20000.0,DEBTCONSOLIDATION,17.9,0.16,7.0,549,No
28142,31.0,male,Bachelor,52527.0,4,RENT,13350.0,MEDICAL,12.42,0.25,9.0,642,No
6178,22.0,male,Bachelor,58404.0,0,MORTGAGE,15000.0,MEDICAL,9.88,0.26,2.0,699,No
28458,31.0,male,Master,95264.0,6,RENT,10000.0,EDUCATION,11.41,0.1,7.0,709,Yes
42180,33.0,female,Bachelor,52983.0,11,RENT,18000.0,VENTURE,11.66,0.34,11.0,667,No
5039,21.0,female,Associate,57432.0,0,RENT,5000.0,PERSONAL,9.32,0.09,3.0,565,Yes
39424,31.0,female,Bachelor,216811.0,9,MORTGAGE,12549.0,DEBTCONSOLIDATION,6.87,0.06,7.0,556,Yes
33949,25.0,male,Bachelor,70425.0,0,MORTGAGE,2904.0,EDUCATION,11.91,0.04,5.0,614,No
43347,25.0,female,Bachelor,29728.0,2,RENT,5683.0,HOMEIMPROVEMENT,15.03,0.19,2.0,679,No
23466,29.0,female,Master,76454.0,4,MORTGAGE,7400.0,MEDICAL,10.99,0.1,10.0,634,Yes
43288,24.0,female,Associate,66881.0,3,RENT,8000.0,PERSONAL,16.9,0.12,4.0,549,No
35468,29.0,male,Bachelor,61047.0,8,MORTGAGE,8000.0,VENTURE,6.29,0.13,8.0,639,No
26872,34.0,male,Associate,55570.0,15,RENT,15000.0,DEBTCONSOLIDATION,11.48,0.27,9.0,690,No
29808,43.0,female,Associate,47827.0,21,MORTGAGE,8000.0,VENTURE,9.99,0.17,16.0,699,Yes
22253,30.0,male,High School,65601.0,8,MORTGAGE,4000.0,HOMEIMPROVEMENT,6.03,0.06,5.0,627,No
7319,22.0,female,High School,41844.0,0,RENT,6500.0,PERSONAL,13.22,0.16,3.0,607,No
27546,34.0,female,Associate,166557.0,13,MORTGAGE,2400.0,HOMEIMPROVEMENT,19.91,0.01,7.0,695,No
24741,34.0,female,Associate,91029.0,9,MORTGAGE,8400.0,DEBTCONSOLIDATION,11.01,0.09,8.0,592,No
31078,36.0,female,Bachelor,90959.0,10,MORTGAGE,14400.0,DEBTCONSOLIDATION,10.25,0.16,15.0,570,Yes
28121,27.0,male,Bachelor,58376.0,3,RENT,2800.0,VENTURE,7.49,0.05,10.0,671,Yes
371,24.0,female,Bachelor,111283.0,0,RENT,24500.0,MEDICAL,11.46,0.22,4.0,694,No
42978,28.0,male,Bachelor,63238.0,6,RENT,16000.0,DEBTCONSOLIDATION,14.05,0.25,5.0,629,No
31182,49.0,male,High School,90256.0,28,MORTGAGE,12000.0,DEBTCONSOLIDATION,17.99,0.13,15.0,611,No
27863,28.0,female,Master,325368.0,9,MORTGAGE,25000.0,MEDICAL,17.88,0.08,6.0,614,No
33494,22.0,female,Associate,61159.0,1,RENT,6000.0,MEDICAL,10.38,0.1,4.0,608,Yes
742,24.0,male,Bachelor,26769.0,2,MORTGAGE,8000.0,MEDICAL,5.42,0.3,2.0,613,Yes
38965,25.0,male,High School,82850.0,3,RENT,10000.0,EDUCATION,14.69,0.12,4.0,639,No
20532,29.0,male,Associate,71321.0,6,RENT,4800.0,DEBTCONSOLIDATION,11.49,0.07,7.0,562,No
32534,76.0,female,Bachelor,90934.0,58,RENT,15000.0,MEDICAL,8.94,0.16,25.0,737,No
26279,35.0,female,High School,120774.0,13,MORTGAGE,6000.0,EDUCATION,9.99,0.05,7.0,607,Yes
24473,31.0,male,High School,67308.0,9,RENT,10000.0,MEDICAL,12.42,0.15,7.0,661,Yes
26448,31.0,male,Associate,123240.0,7,MORTGAGE,14400.0,HOMEIMPROVEMENT,11.01,0.12,6.0,608,No
27566,29.0,female,Bachelor,180719.0,11,MORTGAGE,7200.0,MEDICAL,7.29,0.04,7.0,664,No
20643,33.0,male,Associate,51838.0,12,MORTGAGE,9050.0,PERSONAL,7.49,0.17,7.0,644,No
25206,27.0,male,Master,98473.0,7,OWN,9000.0,VENTURE,13.43,0.09,9.0,587,No
34830,25.0,female,High School,47548.0,1,OWN,12000.0,VENTURE,10.38,0.25,3.0,642,Yes
27511,31.0,male,Bachelor,24524.0,9,OWN,5000.0,HOMEIMPROVEMENT,8.59,0.2,8.0,622,Yes
13062,25.0,male,Associate,94579.0,5,RENT,12000.0,PERSONAL,14.09,0.13,3.0,651,No
3038,22.0,male,Bachelor,90992.0,1,RENT,3200.0,EDUCATION,10.28,0.04,4.0,647,No
159,23.0,male,Associate,229083.0,0,MORTGAGE,22000.0,EDUCATION,17.58,0.1,3.0,639,No
955,22.0,female,High School,60829.0,1,RENT,18250.0,DEBTCONSOLIDATION,16.7,0.3,3.0,633,No
6939,25.0,male,Bachelor,109238.0,0,RENT,6000.0,HOMEIMPROVEMENT,13.49,0.05,4.0,602,No
17802,24.0,male,High School,112727.0,2,MORTGAGE,12000.0,DEBTCONSOLIDATION,16.29,0.11,3.0,612,No
3827,23.0,female,High School,40207.0,0,RENT,4000.0,PERSONAL,11.01,0.1,2.0,542,Yes
43905,36.0,male,Bachelor,44161.0,14,RENT,16000.0,PERSONAL,9.23,0.36,16.0,668,No
22440,29.0,male,Bachelor,60925.0,1,RENT,7000.0,DEBTCONSOLIDATION,11.01,0.11,6.0,583,Yes
1937,26.0,male,Associate,85283.0,6,RENT,2000.0,EDUCATION,12.84,0.02,2.0,659,Yes
8443,23.0,male,High School,70786.0,0,MORTGAGE,7200.0,DEBTCONSOLIDATION,11.01,0.1,2.0,638,No
26941,29.0,male,Associate,144848.0,6,MORTGAGE,7000.0,PERSONAL,11.01,0.05,8.0,650,Yes
35320,23.0,female,High School,35400.0,0,RENT,5000.0,EDUCATION,7.14,0.14,3.0,646,Yes
26182,33.0,male,Associate,60833.0,13,RENT,14000.0,DEBTCONSOLIDATION,10.62,0.23,9.0,607,Yes
13836,26.0,male,High School,51244.0,8,RENT,14000.0,DEBTCONSOLIDATION,9.45,0.27,2.0,664,No
21030,30.0,male,Master,55273.0,7,RENT,8500.0,MEDICAL,11.89,0.15,7.0,626,Yes
13317,25.0,male,High School,108959.0,2,MORTGAGE,8500.0,PERSONAL,15.21,0.08,3.0,555,Yes
34870,37.0,female,High School,61039.0,15,MORTGAGE,10469.0,MEDICAL,7.87,0.17,9.0,575,No
25395,28.0,male,Associate,102482.0,6,MORTGAGE,9600.0,HOMEIMPROVEMENT,15.27,0.09,5.0,649,Yes
4378,21.0,male,Bachelor,33264.0,0,RENT,4800.0,DEBTCONSOLIDATION,13.49,0.14,4.0,621,Yes
42281,23.0,male,High School,22249.0,0,OWN,5000.0,EDUCATION,9.76,0.22,5.0,564,No
23873,27.0,male,High School,33537.0,3,RENT,9750.0,MEDICAL,9.63,0.29,6.0,523,No
19484,27.0,female,Associate,41526.0,5,MORTGAGE,10000.0,DEBTCONSOLIDATION,9.25,0.24,7.0,696,No
12013,25.0,female,Associate,87005.0,1,RENT,11200.0,PERSONAL,10.36,0.13,2.0,700,No
38579,41.0,female,High School,67164.0,18,MORTGAGE,10000.0,MEDICAL,9.46,0.15,15.0,704,Yes
13214,25.0,male,Associate,80400.0,1,MORTGAGE,20000.0,MEDICAL,15.27,0.25,4.0,594,No
32605,44.0,male,Bachelor,75188.0,22,RENT,11022.0,DEBTCONSOLIDATION,8.35,0.15,16.0,712,No
43244,59.0,male,Associate,45292.0,38,RENT,5457.0,DEBTCONSOLIDATION,15.84,0.12,20.0,697,No
15995,24.0,female,High School,58338.0,2,MORTGAGE,4000.0,MEDICAL,5.42,0.07,4.0,651,No
13795,25.0,male,Master,116163.0,5,MORTGAGE,18250.0,DEBTCONSOLIDATION,11.11,0.16,4.0,561,Yes
39048,26.0,female,Associate,91228.0,3,RENT,10000.0,VENTURE,7.18,0.11,4.0,655,Yes
44620,29.0,female,Master,21261.0,8,RENT,5000.0,EDUCATION,8.9,0.24,7.0,537,No
30743,36.0,male,Master,76714.0,14,MORTGAGE,6250.0,MEDICAL,7.49,0.08,12.0,673,Yes
6471,25.0,female,High School,51540.0,3,RENT,6000.0,MEDICAL,11.01,0.12,4.0,599,Yes
38671,23.0,female,High School,75529.0,1,RENT,10000.0,DEBTCONSOLIDATION,13.8,0.13,4.0,647,No
7867,22.0,male,Associate,67126.0,1,OWN,10000.0,VENTURE,10.99,0.15,3.0,655,Yes
30574,45.0,male,Associate,39263.0,26,RENT,8000.0,DEBTCONSOLIDATION,10.99,0.2,12.0,682,No
24768,27.0,male,Associate,90818.0,6,MORTGAGE,21000.0,EDUCATION,15.2,0.23,8.0,686,Yes
11298,23.0,male,High School,66996.0,0,RENT,10000.0,EDUCATION,5.79,0.15,3.0,637,Yes
35609,23.0,male,Bachelor,88477.0,0,MORTGAGE,11209.0,PERSONAL,11.05,0.13,3.0,607,Yes
40087,26.0,female,Bachelor,60917.0,5,MORTGAGE,21458.0,VENTURE,10.15,0.35,7.0,666,Yes
10063,23.0,male,Associate,61779.0,1,RENT,9400.0,EDUCATION,9.99,0.15,4.0,676,No
28118,35.0,female,High School,122341.0,13,MORTGAGE,4500.0,PERSONAL,9.32,0.04,8.0,669,Yes
26953,27.0,male,Bachelor,145229.0,4,MORTGAGE,7000.0,PERSONAL,7.49,0.05,9.0,620,Yes
6520,23.0,female,Associate,55198.0,3,RENT,6000.0,DEBTCONSOLIDATION,12.53,0.11,2.0,676,Yes
34704,24.0,female,Associate,87857.0,1,RENT,16888.0,MEDICAL,6.98,0.19,4.0,614,Yes
41827,22.0,female,High School,33399.0,2,RENT,2489.0,EDUCATION,6.05,0.07,5.0,640,No
23325,32.0,male,Bachelor,75176.0,9,MORTGAGE,15000.0,VENTURE,13.57,0.2,7.0,633,Yes
8714,23.0,female,Associate,35653.0,1,RENT,8000.0,VENTURE,18.3,0.22,2.0,602,No
42266,28.0,female,Bachelor,53494.0,3,RENT,17508.0,EDUCATION,11.09,0.33,10.0,705,No
14859,26.0,male,Master,141640.0,2,MORTGAGE,14400.0,MEDICAL,11.01,0.1,3.0,625,Yes
20131,31.0,male,High School,46941.0,9,OWN,11000.0,EDUCATION,11.01,0.23,8.0,664,Yes
20512,27.0,male,Bachelor,60018.0,3,RENT,4800.0,DEBTCONSOLIDATION,14.65,0.08,7.0,676,Yes
32013,41.0,female,Master,114835.0,17,OWN,21600.0,MEDICAL,13.92,0.19,12.0,685,Yes
23026,33.0,male,Master,72949.0,8,MORTGAGE,7000.0,MEDICAL,5.42,0.1,8.0,637,Yes
19324,29.0,female,Doctorate,39535.0,9,MORTGAGE,12000.0,VENTURE,7.88,0.3,6.0,645,No
39315,25.0,female,Master,49007.0,3,RENT,5000.0,DEBTCONSOLIDATION,12.42,0.1,3.0,480,Yes
43796,23.0,male,Bachelor,93860.0,3,RENT,21995.0,DEBTCONSOLIDATION,13.2,0.23,3.0,565,No
18252,30.0,female,Associate,102661.0,8,RENT,24000.0,PERSONAL,16.82,0.23,8.0,699,No
25880,34.0,female,High School,43011.0,14,OWN,3000.0,VENTURE,10.62,0.07,8.0,636,No
3069,21.0,male,High School,35547.0,0,MORTGAGE,7400.0,EDUCATION,17.56,0.21,3.0,658,No
20134,35.0,female,Master,47143.0,15,MORTGAGE,5000.0,EDUCATION,11.01,0.11,9.0,693,Yes
34215,30.0,female,High School,56150.0,7,RENT,2000.0,MEDICAL,7.47,0.04,8.0,639,Yes
29802,39.0,male,High School,47207.0,17,MORTGAGE,3500.0,MEDICAL,13.98,0.07,17.0,678,Yes
8145,24.0,female,Master,97101.0,0,RENT,7250.0,VENTURE,5.42,0.07,2.0,671,Yes
24454,32.0,female,Associate,88167.0,11,MORTGAGE,4000.0,HOMEIMPROVEMENT,5.42,0.05,10.0,692,No
11422,23.0,female,Bachelor,65543.0,0,RENT,10000.0,EDUCATION,14.42,0.15,3.0,674,No
4318,22.0,male,Associate,58619.0,0,RENT,4650.0,MEDICAL,10.99,0.08,4.0,621,Yes
37627,26.0,female,Bachelor,113039.0,2,MORTGAGE,12000.0,VENTURE,10.33,0.11,5.0,631,Yes
29028,29.0,female,Bachelor,34552.0,3,RENT,8575.0,EDUCATION,19.42,0.25,10.0,658,No
2382,24.0,female,Associate,58756.0,3,RENT,2500.0,EDUCATION,13.35,0.04,4.0,641,Yes
23107,28.0,female,Associate,65814.0,2,RENT,8000.0,DEBTCONSOLIDATION,15.23,0.12,9.0,689,Yes
38653,40.0,male,Associate,73007.0,21,MORTGAGE,12000.0,DEBTCONSOLIDATION,9.6,0.16,16.0,713,No
26432,27.0,male,Master,92228.0,6,OWN,18000.0,MEDICAL,17.26,0.2,8.0,586,No
2968,26.0,female,High School,18488.0,3,RENT,3200.0,MEDICAL,12.21,0.17,2.0,634,No
343,26.0,female,Bachelor,163683.0,5,RENT,25000.0,DEBTCONSOLIDATION,12.53,0.15,4.0,582,Yes
29022,34.0,male,Master,46739.0,11,OWN,10000.0,HOMEIMPROVEMENT,8.94,0.21,9.0,701,No
25669,30.0,male,Bachelor,132823.0,7,RENT,12000.0,HOMEIMPROVEMENT,12.18,0.09,7.0,662,Yes
5722,23.0,male,Bachelor,55163.0,0,RENT,5275.0,MEDICAL,10.39,0.1,2.0,652,Yes
26048,28.0,female,Master,115193.0,6,MORTGAGE,12000.0,EDUCATION,13.11,0.1,9.0,621,No
13722,21.0,male,Bachelor,100880.0,2,MORTGAGE,10000.0,DEBTCONSOLIDATION,15.28,0.1,4.0,648,No
25495,33.0,male,Associate,75440.0,8,MORTGAGE,20000.0,MEDICAL,11.01,0.27,8.0,699,No
14157,24.0,male,Associate,106858.0,2,MORTGAGE,25000.0,EDUCATION,18.84,0.23,2.0,697,No
12343,26.0,male,Associate,46850.0,4,RENT,12000.0,EDUCATION,8.9,0.26,4.0,619,No
27265,32.0,male,Master,157007.0,7,MORTGAGE,28000.0,EDUCATION,8.49,0.18,7.0,678,No
6678,26.0,female,Master,67044.0,2,RENT,6000.0,HOMEIMPROVEMENT,7.14,0.09,4.0,547,Yes
21823,33.0,female,High School,25115.0,10,RENT,7000.0,DEBTCONSOLIDATION,9.45,0.28,8.0,608,No
20413,29.0,male,Bachelor,110836.0,6,RENT,4500.0,MEDICAL,10.65,0.04,5.0,621,No
6052,24.0,male,High School,144937.0,0,RENT,5775.0,VENTURE,6.17,0.04,2.0,575,Yes
17798,25.0,male,Bachelor,93576.0,4,MORTGAGE,3425.0,DEBTCONSOLIDATION,12.18,0.04,4.0,665,No
6848,24.0,male,Master,60977.0,2,MORTGAGE,6000.0,HOMEIMPROVEMENT,9.63,0.1,3.0,646,No
2077,24.0,male,Associate,36805.0,0,MORTGAGE,2400.0,DEBTCONSOLIDATION,13.11,0.07,2.0,560,No
20554,27.0,female,Bachelor,116301.0,7,RENT,10000.0,HOMEIMPROVEMENT,7.88,0.09,10.0,679,No
13090,24.0,female,High School,106245.0,2,MORTGAGE,8000.0,PERSONAL,5.99,0.08,4.0,615,No
24817,29.0,female,Associate,92401.0,6,MORTGAGE,4800.0,MEDICAL,6.99,0.05,7.0,628,No
34922,26.0,male,Bachelor,46301.0,2,RENT,4500.0,EDUCATION,8.45,0.1,6.0,660,No
15374,23.0,male,Master,27700.0,0,OWN,7500.0,MEDICAL,11.12,0.27,4.0,625,No
12921,25.0,female,Bachelor,88633.0,0,MORTGAGE,20000.0,PERSONAL,13.12,0.23,4.0,655,No
1872,24.0,male,Associate,148324.0,3,RENT,15000.0,PERSONAL,15.37,0.1,4.0,532,No
34557,30.0,male,High School,121948.0,5,RENT,7632.0,DEBTCONSOLIDATION,12.9,0.06,5.0,712,No
8589,24.0,male,Bachelor,28361.0,3,RENT,8000.0,HOMEIMPROVEMENT,13.49,0.28,4.0,624,No
34742,26.0,female,Bachelor,136403.0,1,MORTGAGE,15537.0,HOMEIMPROVEMENT,10.58,0.11,5.0,621,Yes
6261,21.0,male,Bachelor,37360.0,0,RENT,6000.0,MEDICAL,7.51,0.16,3.0,598,Yes
8606,22.0,male,High School,30897.0,1,RENT,8000.0,EDUCATION,11.36,0.26,2.0,618,No
3204,25.0,female,High School,58354.0,1,RENT,3500.0,DEBTCONSOLIDATION,13.16,0.06,3.0,641,Yes
37932,27.0,male,Bachelor,121150.0,2,MORTGAGE,12902.0,EDUCATION,7.22,0.11,7.0,639,No
41106,30.0,male,Associate,82447.0,7,MORTGAGE,10896.0,VENTURE,9.38,0.13,5.0,654,Yes
7233,24.0,female,High School,63508.0,2,MORTGAGE,3000.0,EDUCATION,7.66,0.05,4.0,654,Yes
30471,37.0,male,High School,60126.0,15,MORTGAGE,4000.0,MEDICAL,15.65,0.07,17.0,592,No
25433,33.0,female,Associate,85334.0,6,RENT,12000.0,PERSONAL,15.65,0.14,5.0,549,No
3621,23.0,female,High School,91081.0,0,RENT,3700.0,DEBTCONSOLIDATION,6.03,0.04,2.0,626,Yes
8383,23.0,male,High School,69984.0,1,MORTGAGE,9000.0,DEBTCONSOLIDATION,6.54,0.13,3.0,623,Yes
38972,25.0,male,High School,55184.0,4,RENT,12389.0,DEBTCONSOLIDATION,10.51,0.22,3.0,594,Yes
8734,21.0,female,Bachelor,37072.0,0,RENT,8000.0,VENTURE,16.45,0.22,2.0,677,No
28583,28.0,female,High School,62206.0,2,MORTGAGE,2100.0,VENTURE,12.29,0.03,5.0,641,No
23349,29.0,male,Master,75542.0,3,MORTGAGE,10000.0,DEBTCONSOLIDATION,5.99,0.13,8.0,674,No
11988,23.0,male,Bachelor,87097.0,3,MORTGAGE,19000.0,EDUCATION,11.01,0.22,2.0,705,No
31495,36.0,male,High School,121126.0,13,MORTGAGE,9350.0,MEDICAL,7.51,0.08,14.0,639,Yes
19387,35.0,female,Bachelor,36263.0,12,RENT,3000.0,EDUCATION,12.53,0.08,5.0,693,No
22191,29.0,female,Associate,64566.0,5,MORTGAGE,10750.0,DEBTCONSOLIDATION,13.11,0.17,7.0,628,No
19689,31.0,male,Master,12846.0,9,RENT,3250.0,EDUCATION,7.88,0.25,10.0,678,No
5300,26.0,female,Master,54943.0,4,MORTGAGE,6000.0,MEDICAL,14.27,0.11,4.0,644,Yes
13478,25.0,male,Associate,21963.0,5,RENT,2500.0,PERSONAL,12.53,0.11,4.0,655,No
10911,24.0,female,High School,47930.0,3,RENT,10000.0,DEBTCONSOLIDATION,14.11,0.21,3.0,626,No
33674,23.0,female,Bachelor,78741.0,0,MORTGAGE,2274.0,DEBTCONSOLIDATION,11.03,0.03,3.0,680,Yes
26772,27.0,female,Doctorate,49019.0,4,RENT,15000.0,MEDICAL,6.91,0.31,10.0,607,No
29269,47.0,female,Bachelor,22873.0,26,MORTGAGE,3000.0,PERSONAL,5.42,0.13,12.0,678,No
42858,32.0,female,Bachelor,77251.0,12,RENT,25000.0,MEDICAL,10.41,0.32,7.0,673,No
44612,24.0,female,Associate,43995.0,0,RENT,15515.0,MEDICAL,13.12,0.35,3.0,586,No
14025,23.0,male,Bachelor,87391.0,3,RENT,14000.0,VENTURE,10.75,0.16,3.0,610,Yes
23664,29.0,female,Master,78680.0,6,MORTGAGE,6000.0,PERSONAL,6.99,0.08,10.0,644,No
7258,24.0,female,Bachelor,55898.0,0,MORTGAGE,12000.0,EDUCATION,7.88,0.21,4.0,630,No
19965,31.0,male,Bachelor,80385.0,8,RENT,10500.0,HOMEIMPROVEMENT,12.69,0.13,10.0,597,Yes
18170,30.0,female,High School,180661.0,4,RENT,25000.0,PERSONAL,17.56,0.14,5.0,628,No
10185,23.0,male,Bachelor,79217.0,0,MORTGAGE,16800.0,PERSONAL,11.01,0.21,2.0,670,Yes
3863,26.0,male,Bachelor,37097.0,5,RENT,4000.0,MEDICAL,14.27,0.11,2.0,673,No
39528,30.0,female,Master,55117.0,5,RENT,8558.0,EDUCATION,12.02,0.16,5.0,572,Yes
39877,25.0,female,Bachelor,61964.0,6,RENT,1800.0,PERSONAL,15.22,0.03,4.0,686,Yes
10532,25.0,male,Associate,75600.0,5,OWN,4000.0,PERSONAL,18.39,0.05,2.0,590,No
1861,22.0,female,High School,133905.0,0,RENT,15000.0,VENTURE,10.62,0.11,3.0,655,Yes
32749,28.0,male,Associate,99941.0,6,MORTGAGE,18233.0,DEBTCONSOLIDATION,9.45,0.18,6.0,607,Yes
16459,23.0,male,High School,43073.0,1,MORTGAGE,2100.0,VENTURE,5.42,0.05,2.0,611,Yes
27326,32.0,female,High School,159265.0,11,MORTGAGE,25000.0,HOMEIMPROVEMENT,10.99,0.16,7.0,645,Yes
17675,24.0,female,High School,74686.0,0,RENT,12250.0,DEBTCONSOLIDATION,12.23,0.16,2.0,594,Yes
37068,23.0,male,High School,35274.0,0,MORTGAGE,10514.0,DEBTCONSOLIDATION,11.99,0.3,2.0,629,Yes
1631,21.0,male,Master,63326.0,0,RENT,1500.0,EDUCATION,11.99,0.02,3.0,711,Yes
30047,42.0,female,High School,82693.0,17,RENT,8500.0,MEDICAL,10.37,0.1,12.0,546,Yes
